N,kappa,eps_F,trial,lambda,J,K,err
4,10,0.0001,40,2.532535934062996,214,239,1.9522558202966564e-05
4,10,0.0001,41,2.030100029485473,175,191,1.994025338455185e-05
4,10,0.0001,42,2.1750846845826333,186,205,1.9833897983708854e-05
4,10,0.0001,43,2.081034377097171,179,196,1.990501678867304e-05
4,10,0.0001,44,2.173118991157666,186,204,1.9832926224061095e-05
4,10,0.0001,45,2.702871248702058,228,256,1.9364612832262916e-05
4,10,0.0001,46,1.8225103558134361,159,171,2.005785131352383e-05
4,10,0.0001,47,2.1393843488594166,184,201,1.9859760231152723e-05
4,10,0.0001,48,1.9355098942210556,168,182,2.00002927061109e-05
4,10,0.0001,49,2.4543699081694337,208,232,1.9595337093273916e-05
4,10,0.0001,50,1.629394566087265,144,153,2.0116023113754463e-05
4,10,0.0001,51,2.2587663030265515,193,213,1.9765878573917954e-05
4,10,0.0001,52,2.2011078794716656,188,207,1.981169735175828e-05
4,10,0.0001,53,1.8882543479133709,164,177,2.002471177464663e-05
4,10,0.0001,54,2.31807891807055,197,218,1.971366956265537e-05
4,10,0.0001,55,2.6149599396099026,221,247,1.944609432675112e-05
4,10,0.0001,56,1.54129194692043,138,144,2.011507368304212e-05
4,10,0.0001,57,2.2631907698621267,193,213,1.9760966301708372e-05
4,10,0.0001,58,1.828913318967958,160,172,2.0056608740990577e-05
4,10,0.0001,59,2.3202498741961017,198,219,1.9713959216047472e-05
4,10,0.0001,60,2.245091942050997,192,211,1.9775237609888714e-05
4,10,0.0001,61,2.127318930605159,183,200,1.986941624665528e-05
4,10,0.0001,62,2.5484100566073167,215,241,1.9508936828715647e-05
4,10,0.0001,63,2.4290446189034776,206,229,1.9616828494212508e-05
4,10,0.0001,64,1.7381644520209896,153,163,2.0090237560817012e-05
4,10,0.0001,65,1.5515561144402628,138,145,2.011584034328248e-05
4,10,0.0001,66,2.18409494226199,187,205,1.9824120655646636e-05
4,10,0.0001,67,2.531432746034232,214,239,1.95238169641436e-05
4,10,0.0001,68,1.6711000234375017,147,157,2.0109460450870605e-05
4,10,0.0001,69,2.117253518045056,182,199,1.9876861254332924e-05
4,10,0.0001,70,2.4779329454360135,210,234,1.9573264512527276e-05
4,10,0.0001,71,2.574568683712747,218,243,1.948351524894151e-05
4,10,0.0001,72,1.7837041571900192,156,167,2.007269298901928e-05
4,10,0.0001,73,1.7338064663152684,152,162,2.0088935355387187e-05
4,10,0.0001,74,1.740634132274004,153,163,2.0088386912045715e-05
4,10,0.0001,75,1.633285869597217,145,153,2.0113714145429765e-05
4,10,0.0001,76,1.6336283462278824,145,153,2.0113509618188207e-05
4,10,0.0001,77,2.3268422531604167,198,219,1.970654982141143e-05
4,10,0.0001,78,1.6435948888124194,145,154,2.011239969572303e-05
4,10,0.0001,79,1.780723523243215,156,167,2.007508133440881e-05
4,10,0.0001,80,1.886103871410509,164,177,2.0026664926963747e-05
4,10,0.0001,81,2.123676962880716,182,200,1.987329066759321e-05
4,10,0.0001,82,1.873381870535779,163,176,2.0034126193087004e-05
4,10,0.0001,83,2.3130899983949442,197,218,1.9719269160790897e-05
4,10,0.0001,84,2.1317187830840405,183,200,1.9864728930121566e-05
4,10,0.0001,85,2.6870982127465055,226,254,1.9378521359779696e-05
4,10,0.0001,86,2.126841301198193,183,200,1.986992448126006e-05
4,10,0.0001,87,2.4149999222694403,205,228,1.963030608932101e-05
4,10,0.0001,88,2.114075334992314,182,199,1.988022726635257e-05
4,10,0.0001,89,2.2023970001605973,188,207,1.9810288385458748e-05
4,10,0.0001,90,2.2655162998695255,193,213,1.9758382340728925e-05
4,10,0.0001,91,1.7305852398886699,152,162,2.0091320677987458e-05
4,10,0.0001,92,2.1640715768570233,186,204,1.984270792382797e-05
4,10,0.0001,93,2.217298590866634,190,209,1.979996996886899e-05
4,10,0.0001,94,1.848355646697224,161,173,2.004400311884327e-05
4,10,0.0001,95,2.2927983610130225,196,216,1.973646197119409e-05
4,10,0.0001,96,1.7865424424721232,156,167,2.0070408228267616e-05
4,10,0.0001,97,1.9710640241814374,171,185,1.997736017671646e-05
4,10,0.0001,98,2.5423954607185886,215,240,1.9513563536020617e-05
4,10,0.0001,99,1.8025297706702794,158,169,2.0066033132843153e-05
4,100,0.01,0,1.911901897792367,1162,1425,0.001832267700447455
4,100,0.01,1,2.5092588775484312,1553,1912,0.0017598032003558733
4,100,0.01,2,1.876172492923288,1139,1397,0.0018386287578282768
4,100,0.01,3,2.043699455990376,1248,1532,0.0018109609901279448
4,100,0.01,4,1.8134691202277473,1099,1346,0.0018504009217282986
4,100,0.01,5,1.9221397695267592,1169,1434,0.0018304953317015132
4,100,0.01,6,2.22703098062573,1367,1681,0.001786617238759435
4,100,0.01,7,1.9926048162226317,1215,1491,0.0018188293201469926
4,100,0.01,8,2.518596914179575,1559,1920,0.0017591138482024621
4,100,0.01,9,1.6618826458495182,1002,1225,0.0018821764186446404
4,100,0.01,10,2.009722360842505,1226,1504,0.001816136330868404
4,100,0.01,11,1.9690548558943193,1199,1471,0.0018226183836799587
4,100,0.01,12,1.6449689207839087,991,1212,0.001886016894675793
4,100,0.01,13,1.6180667416579655,974,1190,0.001892236645242885
4,100,0.01,14,1.763894220328996,1067,1307,0.0018602781273425006
4,100,0.01,15,2.298425277632407,1414,1739,0.001778682260209576
4,100,0.01,16,1.7943331656104187,1087,1331,0.0018541543553887091
4,100,0.01,17,2.0561862244713325,1256,1542,0.0018091120880392914
4,100,0.01,18,1.6827499304652762,1015,1242,0.001877524855226317
4,100,0.01,19,2.0783642777740337,1270,1560,0.0018058995018184784
4,100,0.01,20,1.893929802767325,1151,1411,0.0018354360962648253
4,100,0.01,21,2.5123878602107235,1555,1915,0.0017595713380353655
4,100,0.01,22,2.471886785313669,1528,1881,0.0017626825256809944
4,100,0.01,23,1.6309887429887642,982,1200,0.0018892270135128183
4,100,0.01,24,1.6190128219377513,974,1191,0.001892016986585185
